T,X,Y
1,29.913535859473658,18
1,27.713227015149005,23
1,27.1677980230741,14
1,22.757739994870736,11
0,18.39877464973949,10
1,35.95462156867552,7
0,34.65929799477333,11
1,12.167187869560362,10
1,32.88378811363699,19
0,29.72908261655324,16
0,21.726987289127493,-1
1,35.43073243736022,12
1,40.1412124431508,6
1,35.430230550220976,11
1,43.833879422121996,8
0,28.974802824335054,3
0,18.447091062875707,4
1,31.87663845250105,14
0,18.00748446191068,12
0,6.089437708063638,10
1,28.229365395822064,12
1,40.5066422038923,8
1,24.029075345005225,15
0,56.66173805478499,12
1,17.55638801394132,16
0,24.009726345466866,8
1,34.47325692549795,10
1,18.01572235584097,16
0,34.37534373454204,4
0,23.182069524002237,6
1,15.691786033480868,13
1,16.090052234755717,16
0,25.309414266235464,10
0,35.2380931672481,6
1,23.986106664773104,25
0,26.636468348788636,13
0,31.687926073403275,-1
1,35.90848357421462,18
0,24.703121156199938,9
0,61.275846570978956,10
1,31.550580142184636,19
1,39.03047004612275,9
0,35.185736059449354,8
0,37.39711178322244,2
0,19.802151470204358,10
1,45.059211202591726,12
0,21.53873011092959,0
1,34.19939085936336,15
1,23.847548108341762,10
0,32.45508437072442,4
1,22.570639558032195,15
0,21.49545325914965,13
1,23.82369734612836,12
1,25.22633758583123,17
1,33.49071990903124,18
1,37.35954279359444,24
1,19.76797499487561,8
1,46.99465532554041,18
0,30.48223983637973,10
1,21.3054593476867,11
1,14.19757541704678,18
0,39.85390015579185,3
1,30.01854123353493,19
1,41.54214628123847,19
1,35.30792638651324,7
0,30.22252798875466,10
0,28.218845060965414,9
0,18.18890375194197,3
1,22.147316593328036,11
0,15.683777225227903,9
1,32.26811746883375,15
1,20.79504049931129,13
1,24.858420978517458,13
1,33.115576333915634,9
0,18.817552687215326,8
1,18.970097076460256,8
1,35.05350302289777,13
1,39.37811925213778,15
0,20.107688208093723,-3
1,31.587952497107764,13
0,12.312839180735962,11
1,14.058345473639731,27
0,21.209564059830115,5
0,19.713667286947533,15
0,25.911499233098926,7
0,40.197580017783835,8
1,33.47617082112308,11
0,29.750424683734487,7
0,9.773075278868781,10
0,20.718678335356298,15
1,13.067642627153948,7
1,19.280111086268782,13
0,35.73026722333274,13
0,28.975895243263523,8
1,29.07958996755501,14
1,36.53617377491196,15
1,42.1966500498494,21
1,37.63016968536793,19
1,30.43222293484179,20
0,20.188155702547235,9
1,24.732121624285295,10
0,27.181866693604157,15
0,17.464939739535485,3
0,36.00444172311596,7
0,34.27060982584322,3
1,23.57899695589622,15
0,35.128396578044764,8
0,25.38355661008413,16
0,19.553637211926713,10
0,24.750381665497496,21
1,34.07290848977176,13
0,24.782075919061327,0
1,20.35934771707849,19
0,33.59907242838729,11
1,11.348058998317672,22
0,27.423348236466044,4
1,24.747426359579986,20
0,39.875644743713366,7
0,49.07000713878399,10
1,22.993924088945892,19
1,29.32870535200955,13
0,30.507318597472644,7
0,28.68310419328187,15
0,33.10528608666398,6
1,43.44855898687099,16
1,51.09460977205157,12
1,34.86345832211896,7
1,26.21311805867274,8
0,22.256293247891332,5
0,14.22538615203746,11
1,31.02723132942111,15
1,42.33340297194261,18
1,21.498101351051307,12
0,24.768261686287193,6
1,31.990819142717687,20
1,45.31809535038799,19
0,15.975452641078732,9
1,20.364893068590717,17
1,43.46396293677337,12
0,16.817380837343624,7
0,48.18129365785231,1
1,28.388660576612054,13
1,25.683308101257346,14
1,18.588568769291854,17
1,23.390797683775133,10
0,39.822946927981675,8
0,21.744996547521527,14
1,61.47982308699949,7
0,20.868058097520358,18
1,24.87892488623985,24
0,23.107187119719388,10
0,16.522172639760598,4
0,26.54183532008479,10
1,6.478944405782901,15
1,30.500951278485605,13
1,30.497750839891424,10
1,24.641663768939818,22
0,11.094076429720957,2
0,20.225758915161144,7
1,33.22602136756617,10
0,25.585346888841613,11
0,39.693574511631645,12
1,20.944365984971654,11
1,29.391825351830843,21
1,13.676666122321901,19
1,18.601236659809356,9
1,12.321425562494595,24
1,12.444627577163779,16
1,12.481893839716001,17
1,27.273813295880757,14
0,39.7207449684425,15
0,37.899896814809196,11
1,20.276776461862674,10
1,27.209600167219897,13
0,20.37198891747219,15
1,40.45941258264419,19
1,24.400272137392456,12
1,41.88163582324276,22
0,37.67761628559104,9
1,22.312539133651605,12
1,17.29176486149753,18
0,32.054272717771234,5
0,20.691773423924833,3
1,24.085217638764274,13
0,23.64178807763741,8
1,24.853504464413838,8
0,23.944357886377027,10
1,13.102900817587642,10
1,42.276052586495,20
1,17.53833952012588,17
1,21.21892248176902,10
1,22.652952442250275,14
0,30.787402750639657,8
1,36.57472694294075,4
0,20.567769615105725,5
1,27.982381980872525,18
1,25.66467874269741,26
1,19.40654437049216,11
1,28.685348551278633,13
1,24.98268606134015,23
0,15.285525891991842,12
1,44.90771238763729,11
0,52.140366951122076,11
1,8.080073545749286,17
0,22.061244153241894,4
0,14.603091983836304,13
0,24.449351103141915,21
1,12.60110796271266,11
0,30.36898267627659,10
1,41.847402851650706,15
1,17.594724314319354,29
1,33.986408184984654,4
1,21.766075862765078,13
1,25.09356932953039,16
0,37.56853780850055,6
1,30.903984450663902,23
1,20.76667509010202,20
0,21.439553088719684,8
1,27.352816692822586,23
0,35.40309128407342,13
0,30.810978408513463,14
1,29.4442831287856,18
1,31.314490368678875,18
1,11.517019008668807,11
1,42.34280497286404,4
1,31.731151718500122,11
0,27.038092951995665,13
1,11.428404938775103,12
0,24.604763974875414,3
1,25.660493754402538,15
1,26.883917359896415,26
1,17.2043757045617,18
1,39.97651058501424,16
1,22.784408427381976,13
1,9.456735634198932,21
0,28.955702050276738,11
0,30.75835323419414,7
0,50.39439546765186,7
0,19.69914605883936,2
1,35.18487274105036,18
0,41.687410710129086,12
0,24.498837680861307,5
0,34.80058602919615,16
1,21.55574824549917,18
0,30.53147963700055,5
0,14.735980635922722,0
0,8.688886164748194,6
0,13.378799370185932,5
0,11.094627347922337,4
0,37.80777151517559,10
1,24.38036525480797,16
0,34.294243145169474,6
0,46.83358104118216,8
0,29.89795516183463,9
1,24.009003157458775,17
0,23.299172059424315,10
1,32.43268484706368,20
0,28.935140140042147,6
1,36.22193564690605,15
0,6.747668693441568,6
1,6.570721123147866,18
1,20.30412923214518,8
0,35.74049857575281,4
0,30.252051669432515,10
1,45.56270064388198,14
1,14.588977076528508,18
1,25.174401835530457,17
0,17.65829042286785,0
0,22.749293060947547,7
1,34.85604377552497,12
0,16.085339679191353,1
0,30.993888125357746,21
0,26.719110805991704,1
1,45.59421844693543,11
1,27.31340812333316,15
0,20.20157309868249,7
1,19.434985381313858,15
0,24.337552315841,7
1,15.000246927734743,12
0,30.139017513272464,0
0,32.83071090999473,8
